,game_id,home_team,away_team,home_score,away_score
168,2015020168,ANA,NSH,4,2
169,2015020169,TOR,DAL,4,1
170,2015020170,CHI,L.A,4,2
171,2015020171,VAN,PHI,4,1
172,2015020172,BOS,DAL,3,5
173,2015020173,NYI,N.J,2,1
174,2015020174,NYR,WSH,5,2
175,2015020175,MTL,OTT,1,2
176,2015020176,DET,T.B,2,1
177,2015020177,STL,L.A,0,3
178,2015020178,COL,CGY,6,3
179,2015020179,EDM,PHI,4,2
180,2015020180,S.J,CBJ,2,5
181,2015020180,S.J,CBJ,2,5
182,2015020181,TOR,WPG,2,4
183,2015020182,CHI,STL,5,6
184,2015020182,CHI,STL,5,6
185,2015020183,VAN,PIT,2,3
186,2015020184,ANA,FLA,3,2
187,2015020185,BUF,T.B,1,4
188,2015020186,WSH,BOS,4,1
189,2015020187,MTL,NYI,4,1
190,2015020188,OTT,WPG,3,2
191,2015020189,MIN,NSH,2,3
192,2015020190,CGY,PHI,2,1
193,2015020191,ARI,COL,4,2
194,2015020192,L.A,CBJ,2,3
195,2015020193,S.J,FLA,5,2
196,2015020194,TOR,DET,1,2
197,2015020195,N.J,CHI,4,2
198,2015020196,CAR,DAL,1,4
199,2015020197,COL,NYR,1,2
200,2015020198,EDM,PIT,1,2
201,2015020199,ANA,CBJ,4,2
202,2015020200,BUF,VAN,3,2
203,2015020201,L.A,FLA,4,1
204,2015020205,WPG,PHI,0,3
205,2015020202,MTL,BOS,4,2
206,2015020203,WSH,TOR,3,2
207,2015020204,CAR,OTT,3,2
208,2015020206,NSH,STL,0,4
209,2015020207,MIN,T.B,1,0
210,2015020208,ARI,NYR,1,4
211,2015020209,CGY,PIT,5,2
212,2015020210,S.J,ANA,0,1
213,2015020211,DET,DAL,1,4
214,2015020212,N.J,VAN,4,3
215,2015020213,NYI,BOS,1,2
216,2015020214,CHI,EDM,4,2
217,2015020215,ANA,ARI,3,4
218,2015020216,N.J,STL,0,2
219,2015020217,NYR,CAR,3,0
220,2015020218,PHI,COL,0,4
221,2015020219,CBJ,VAN,3,5
222,2015020220,DET,WSH,1,0
223,2015020221,T.B,BUF,1,4
224,2015020222,FLA,CGY,4,3
225,2015020223,NSH,OTT,7,5
226,2015020224,MIN,WPG,5,3
227,2015020225,DAL,TOR,2,3
228,2015020226,L.A,ARI,2,3
229,2015020227,S.J,NYI,2,4
230,2015020227,S.J,NYI,2,4
231,2015020228,PIT,MTL,4,3
232,2015020229,ANA,EDM,3,4
233,2015020230,BOS,COL,2,3
234,2015020231,NYR,STL,6,3
235,2015020231,NYR,STL,6,3
236,2015020232,PHI,WSH,2,5
237,2015020233,CAR,MIN,2,3
238,2015020234,OTT,VAN,3,2
239,2015020235,T.B,CGY,3,1
240,2015020236,FLA,BUF,2,3
241,2015020237,NSH,TOR,1,2
242,2015020238,CHI,N.J,2,3
243,2015020239,DAL,WPG,6,3
244,2015020240,ARI,EDM,4,1
245,2015020241,L.A,NYI,2,1
246,2015020242,PIT,CBJ,1,2
247,2015020243,WSH,CGY,2,3
248,2015020244,DET,S.J,2,3
249,2015020245,ANA,NYI,1,4
250,2015020246,OTT,NYR,1,2
251,2015020255,NSH,WPG,7,0
252,2015020247,BOS,DET,3,1
253,2015020248,BUF,S.J,1,2
254,2015020249,TOR,VAN,4,2
255,2015020250,MTL,COL,1,6
256,2015020251,T.B,FLA,4,5
257,2015020252,N.J,PIT,4,0
258,2015020253,CAR,PHI,2,3
259,2015020254,CBJ,ARI,5,2
260,2015020256,STL,CHI,2,4
261,2015020257,DAL,MIN,3,2
262,2015020258,L.A,EDM,4,3
263,2015020259,NYR,TOR,4,3
264,2015020260,CHI,CGY,4,1
265,2015020261,NYI,ARI,5,2
266,2015020262,CAR,ANA,1,4
267,2015020263,MTL,VAN,4,3
268,2015020264,OTT,DET,3,4
269,2015020265,FLA,T.B,1,0
270,2015020266,STL,WPG,3,2
271,2015020267,BOS,S.J,4,5
272,2015020268,BUF,DAL,1,3
273,2015020269,PHI,L.A,2,3
274,2015020271,CBJ,STL,3,1
275,2015020270,PIT,MIN,4,3
276,2015020272,TOR,COL,5,1
277,2015020273,NSH,ANA,3,2
278,2015020274,CGY,N.J,3,2
279,2015020275,WPG,VAN,4,1
280,2015020276,DET,WSH,1,2
281,2015020277,EDM,CHI,3,4
282,2015020278,BOS,MIN,4,2
283,2015020279,PHI,S.J,0,1
284,2015020280,PIT,COL,4,3
285,2015020281,WSH,DAL,2,3
286,2015020282,MTL,ARI,2,3
287,2015020283,OTT,CBJ,3,0
288,2015020284,T.B,NYR,2,1
289,2015020285,FLA,ANA,1,3
290,2015020286,STL,BUF,3,2
291,2015020287,CAR,TOR,1,2
292,2015020288,CBJ,NSH,4,0
293,2015020289,DET,L.A,3,2
294,2015020290,NYI,MTL,3,5
295,2015020290,NYI,MTL,3,5
296,2015020291,CGY,CHI,2,1
297,2015020292,EDM,N.J,5,1
298,2015020299,WPG,ARI,3,2
299,2015020293,BOS,TOR,2,0
300,2015020294,OTT,PHI,4,0
301,2015020295,T.B,ANA,5,0
302,2015020296,FLA,NYR,4,5
303,2015020297,PIT,S.J,1,3
304,2015020298,WSH,COL,7,3
305,2015020300,STL,DET,3,4
306,2015020301,DAL,BUF,3,0
307,2015020302,MIN,NSH,4,0
308,2015020303,VAN,CHI,6,3
309,2015020304,CAR,L.A,4,3
310,2015020305,CBJ,S.J,3,5
311,2015020306,MTL,NYI,4,2
312,2015020307,VAN,N.J,2,3
313,2015020308,BUF,STL,1,2
314,2015020309,NYR,NSH,3,0
315,2015020310,PHI,CAR,3,2
316,2015020311,WSH,EDM,1,0
317,2015020312,TOR,BOS,3,4
318,2015020313,FLA,L.A,1,3
319,2015020314,WPG,COL,1,4
320,2015020315,DAL,OTT,4,7
321,2015020316,ANA,CGY,5,3
322,2015020324,MIN,VAN,2,3
323,2015020317,BUF,NSH,2,3
324,2015020318,N.J,CBJ,1,2
325,2015020320,NYR,MTL,1,5
326,2015020321,PIT,STL,4,3
327,2015020322,WSH,WPG,5,3
328,2015020323,CAR,EDM,4,1
