,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
191,77.0,-5.0,,
192,81.0,-0.0,,
193,34.0,4.0,,
194,63.0,27.0,,
195,67.0,12.0,,
196,64.0,-31.0,,
197,82.0,6.0,,
198,82.0,-3.0,,
199,34.0,-25.0,,
200,74.0,-9.0,,
201,79.0,-8.0,,
202,60.0,-21.0,,
203,56.0,-10.0,,
204,83.0,0.0,,
205,64.0,-7.0,,
206,36.0,20.0,,
207,66.0,-17.0,,
208,58.0,17.0,,
209,81.0,-13.0,,
210,43.0,-31.0,,
211,87.0,10.0,,
212,77.0,-10.0,,
213,81.0,18.0,,
214,65.0,1.0,,
215,51.0,2.0,,
216,55.0,-29.0,,
217,82.0,10.0,,
218,73.0,-24.0,,
219,75.0,-7.0,,
220,80.0,4.0,,
221,39.0,-12.0,,
222,67.0,17.0,,
223,75.0,19.0,,
224,61.0,-11.0,,
225,67.0,-15.0,,
226,81.0,-10.0,,
227,83.0,-1.0,,
228,27.0,10.0,,
229,66.0,-7.0,,
230,71.0,-9.0,,
231,83.0,-2.0,,
232,66.0,20.0,,
233,70.0,-23.0,,
234,34.0,4.0,,
235,64.0,20.0,,
236,35.0,-34.0,,
237,42.0,14.0,,
238,72.0,3.0,,
239,69.0,-13.0,,
240,36.0,28.0,,
241,82.0,-0.0,,
242,51.0,24.0,,
243,62.0,-15.0,,
244,33.0,-7.0,,
245,84.0,8.0,,
246,49.0,-35.0,,
247,76.0,-19.0,,
248,33.0,22.0,,
249,66.0,0.0,,
250,33.0,4.0,,
251,37.0,34.0,,
252,72.0,14.0,,
253,34.0,-36.0,,
254,69.0,-13.0,,
255,66.0,24.0,,
256,34.0,28.0,,
257,78.0,-2.0,,
258,56.0,-0.0,,
259,84.0,-8.0,,
260,53.0,-38.0,,
261,32.0,-10.0,,
262,16.0,-16.0,,
263,66.0,-12.0,,
264,82.0,10.0,,
265,72.0,-9.0,,
266,79.0,-3.0,,
267,76.0,4.0,,
268,77.0,-8.0,,
269,55.0,1.0,,
270,56.0,24.0,,
271,72.0,-4.0,,
272,60.0,-21.0,,
273,76.0,-3.0,,
274,80.0,-1.0,,
275,82.0,5.0,,
276,51.0,28.0,,
277,84.0,-8.0,,
278,60.0,-23.0,,
279,71.0,18.0,,
280,48.0,35.0,,
281,51.0,-12.0,,
282,84.0,-7.0,,
283,74.0,0.0,,
284,34.0,12.0,,
285,40.0,-26.0,,
286,62.0,-37.0,,
287,74.0,-3.0,,
288,39.0,1.0,,
289,71.0,-1.0,,
290,72.0,-34.0,,
291,40.0,23.0,,
292,76.0,-15.0,,
293,20.0,33.0,,
294,72.0,-4.0,,
295,92.0,-7.0,,
296,85.0,-8.0,,
297,71.0,-2.0,,
298,72.0,-4.0,,
299,61.0,-39.0,,
300,76.0,-2.0,,
301,74.0,37.0,,
302,30.0,-1.0,,
303,87.0,10.0,,
304,51.0,-10.0,,
305,71.0,7.0,,
306,37.0,-4.0,,
307,78.0,3.0,,
308,69.0,0.0,,
309,79.0,-4.0,,
310,71.0,-13.0,,
311,35.0,5.0,,
312,75.0,-26.0,,
313,42.0,-3.0,,
314,51.0,25.0,,
315,86.0,-33.0,,
316,53.0,4.0,,
317,66.0,-37.0,,
318,87.0,4.0,,
319,33.0,12.0,,
320,49.0,-38.0,,
321,80.0,3.0,,
322,86.0,2.0,,
323,58.0,3.0,,
324,33.0,29.0,,
325,80.0,0.0,,
326,85.0,0.0,,
327,74.0,-2.0,,
328,68.0,-22.0,,
329,47.0,28.0,,
330,82.0,0.0,,
331,81.0,-4.0,,
332,80.0,1.0,,
333,35.0,33.0,,
334,82.0,7.0,,
335,89.0,2.0,,
336,75.0,-15.0,,
337,73.0,7.0,,
338,75.0,-13.0,,
339,71.0,-9.0,,
340,38.0,21.0,,
341,79.0,15.0,,
342,82.0,-13.0,,
343,43.0,-37.0,,
344,73.0,-17.0,,
345,41.0,27.0,,
346,66.0,27.0,,
347,76.0,10.0,,
348,54.0,24.0,,
349,80.0,5.0,,
350,53.0,31.0,,
351,63.0,-32.0,,
352,57.0,-29.0,,
353,47.0,2.0,,
354,84.0,-35.0,,
355,79.0,-1.0,,
356,78.0,8.0,,
357,77.0,-3.0,,
358,59.0,-5.0,,
359,57.0,29.0,,
360,83.0,-28.0,,
361,42.0,-3.0,,
362,68.0,-15.0,,
363,80.0,-4.0,,
364,48.0,-33.0,,
365,57.0,2.0,,
366,66.0,-37.0,,
367,65.0,-36.0,,
368,85.0,-8.0,,
369,40.0,31.0,,
370,30.0,34.0,,
371,50.0,11.0,,
372,78.0,3.0,,
373,49.0,18.0,,
374,39.0,-32.0,,
375,80.0,-7.0,,
