,coor_x,coor_y,event_type,coor_x_normalized,coor_y_normalized,game_id,shooting_team,shooting_team_home_or_away,shot_goal_defending_team
85,82.0,5.0,Goal,82.0,5.0,2021020269,Edmonton Oilers,Home,Chicago Blackhawks
86,-88.0,6.0,Goal,88.0,-6.0,2021020300,Edmonton Oilers,Away,Arizona Coyotes
87,78.0,4.0,Goal,78.0,4.0,2021020350,Edmonton Oilers,Home,Pittsburgh Penguins
88,-77.0,7.0,Goal,77.0,-7.0,2021020366,Edmonton Oilers,Away,Seattle Kraken
89,-76.0,4.0,Goal,76.0,-4.0,2021020480,Edmonton Oilers,Away,Seattle Kraken
90,-79.0,-5.0,Goal,79.0,5.0,2021020562,Edmonton Oilers,Away,New Jersey Devils
91,74.0,0.0,Goal,74.0,0.0,2021020562,Edmonton Oilers,Away,New Jersey Devils
92,82.0,6.0,Goal,82.0,6.0,2021020766,Edmonton Oilers,Home,Nashville Predators
93,80.0,5.0,Goal,80.0,5.0,2021020766,Edmonton Oilers,Home,Nashville Predators
94,-69.0,-10.0,Goal,69.0,10.0,2021020791,Edmonton Oilers,Away,Ottawa Senators
95,91.0,8.0,Goal,91.0,8.0,2021020808,Edmonton Oilers,Away,Washington Capitals
96,-68.0,-18.0,Goal,68.0,18.0,2021020522,Edmonton Oilers,Away,San Jose Sharks
97,-76.0,14.0,Goal,76.0,-14.0,2021020681,Edmonton Oilers,Away,Winnipeg Jets
98,-69.0,22.0,Goal,69.0,-22.0,2021020812,Edmonton Oilers,Away,Tampa Bay Lightning
99,-72.0,-2.0,Goal,72.0,2.0,2021020812,Edmonton Oilers,Away,Tampa Bay Lightning
100,65.0,-7.0,Goal,65.0,-7.0,2021020853,Edmonton Oilers,Away,Philadelphia Flyers
101,84.0,3.0,Goal,84.0,3.0,2021020940,Edmonton Oilers,Home,Tampa Bay Lightning
102,-66.0,-25.0,Goal,66.0,25.0,2021020940,Edmonton Oilers,Home,Tampa Bay Lightning
103,86.0,-6.0,Goal,86.0,-6.0,2021020960,Edmonton Oilers,Home,Detroit Red Wings
104,85.0,-3.0,Goal,85.0,-3.0,2021020973,Edmonton Oilers,Home,Buffalo Sabres
105,77.0,0.0,Goal,77.0,0.0,2021020989,Edmonton Oilers,Home,New Jersey Devils
