date_of_fight,idk_column,player1_name,player1_team,player2_name,player2_team,winner
04/09/00,3 Pd 7:47,Dale Purinton,NYR,Keith Primeau,PHI,Voted winner: Keith Primeau (50%) - Voted rating: 4
04/09/00,3 Pd 10:1,Andre Roy,OTT,Cory Sarich,TBL,Voted winner: Draw (50%) - Voted rating: 0
04/09/00,1 Pd 6:13,Andre Roy,OTT,Kyle Freadrich,TBL,Voted winner: Kyle Freadrich (100%) - Voted rating: 5
04/08/00,3 Pd 19:37,Clarke Wilm,CAL,Dan LaCouture,EDM,Voted winner: Draw (50%) - Voted rating: 0
04/08/00,1 Pd 15:18,D.J. Smith,TOR,Gordie Dwyer,TBL,Voted winner: Gordie Dwyer (100%) - Voted rating: 10
04/08/00,2 Pd 18:59,Gerald Diduck,TOR,Gordie Dwyer,TBL,Voted winner: Gordie Dwyer (50%) - Voted rating: 5.5
04/08/00,3 Pd 6:48,Kevyn Adams,TOR,Cory Sarich,TBL,Voted winner: Cory Sarich (100%) - Voted rating: 6
04/07/00,3 Pd 5:55,Brad Werenka,CAL,Jeff Odgers,COL,Voted winner: Draw (50%) - Voted rating: 0
04/07/00,1 Pd 17:45,Scott Walker,NSH,Jason Marshall,ANA,Voted winner: Draw (50%) - Voted rating: 0
04/07/00,3 Pd 10:40,Kelly Chase,STL,Bob Probert,CHI,Voted winner: Draw (50%) - Voted rating: 0
04/07/00,3 Pd 5:45,Rudy Poeschek,STL,Ryan VandenBussche,CHI,Voted winner: Rudy Poeschek (100%) - Voted rating: 4
04/06/00,3 Pd 1:53,Sheldon Souray,MON,Gordie Dwyer,TBL,Voted winner: Draw (50%) - Voted rating: 0
04/06/00,3 Pd 15:25,Dainius Zubrus,MON,Ben Clymer,TBL,Voted winner: Draw (50%) - Voted rating: 0
04/05/00,2 Pd 2:18,Jason Strudwick,VAN,Kelly Buchberger,LAK,Voted winner: Draw (50%) - Voted rating: 7
04/05/00,1 Pd 3:12,Georges Laraque,EDM,Chris Dingman,COL,Voted winner: Draw (50%) - Voted rating: 0
04/05/00,2 Pd 1:50,Darcy Tucker,TOR,Matthew Barnaby,PIT,Voted winner: Darcy Tucker (37.9%) - Voted rating: 8.03
04/04/00,1 Pd 12:57,Gordie Dwyer,TBL,Darren Van Impe,BOS,Voted winner: Gordie Dwyer (100%) - Voted rating: 5
04/03/00,3 Pd 5:17,Peter Worrell,FLA,Colin White,NJD,Voted winner: Colin White (33.3%) - Voted rating: 5
04/02/00,2 Pd 19:46,Gordie Dwyer,TBL,Krzysztof Oliwa,NJD,Voted winner: Draw (50%) - Voted rating: 1.8
04/02/00,2 Pd 14:56,Petr Buzek,ATL,Olli Jokinen,NYI,Voted winner: Draw (50%) - Voted rating: 5
04/02/00,1 Pd 11:26,Matt Johnson,ATL,Eric Cairns,NYI,Voted winner: Matt Johnson (100%) - Voted rating: 4
04/01/00,2 Pd 17:43,Dan LaCouture,EDM,Dallas Drake,ARI,Voted winner: Dan LaCouture (50%) - Voted rating: 6.5
04/01/00,2 Pd 5:52,Brad Ference,FLA,Wayne Primeau,TBL,Voted winner: Draw (50%) - Voted rating: 4
04/01/00,1 Pd 15:31,Rob Niedermayer,FLA,Ben Clymer,TBL,Voted winner: Draw (50%) - Voted rating: 0
04/01/00,4 Pd 5:0,Chris Pronger,STL,Martin Lapointe,DET,Voted winner: Chris Pronger (50%) - Voted rating: 6
04/01/00,2 Pd 2:32,Bob Boughner,PIT,Craig Berube,PHI,Voted winner: Craig Berube (100%) - Voted rating: 8
03/31/00,3 Pd 5:51,Colin White,NJD,Denny Lambert,ATL,Voted winner: Draw (50%) - Voted rating: 0
03/31/00,3 Pd 16:55,Krzysztof Oliwa,NJD,Rumun Ndur,ATL,Voted winner: Draw (50%) - Voted rating: 0
03/29/00,2 Pd 3:19,Chris Dingman,COL,Sean Brown,EDM,Voted winner: Draw (50%) - Voted rating: 0
03/29/00,1 Pd 15:1,Jamal Mayers,STL,Darcy Tucker,TOR,Voted winner: Draw (50%) - Voted rating: 0
03/29/00,1 Pd 15:19,Brad Ference,FLA,Aaron Gavey,DAL,Voted winner: Draw (50%) - Voted rating: 0
03/29/00,3 Pd 12:38,Paul Laus,FLA,Jamie Pushor,DAL,Voted winner: Draw (50%) - Voted rating: 0
03/29/00,1 Pd 13:26,Mark Parrish,FLA,Mike Keane,DAL,Voted winner: Mark Parrish (100%) - Voted rating: 4.5
03/29/00,1 Pd 13:30,Paul Laus,FLA,Scott Thornton,DAL,Voted winner: Paul Laus (100%) - Voted rating: 7
03/28/00,3 Pd 14:37,Petr Svoboda,TBL,Brenden Morrow,DAL,Voted winner: Draw (50%) - Voted rating: 0
03/28/00,2 Pd 4:54,Nils Ekman,TBL,Aaron Gavey,DAL,Voted winner: Aaron Gavey (100%) - Voted rating: 4
03/28/00,2 Pd 13:40,Andre Roy,OTT,Luke Richardson,PHI,Voted winner: Draw (50%) - Voted rating: 0
03/28/00,3 Pd 2:42,Rob Zettler,WAS,Denny Lambert,ATL,Voted winner: Draw (50%) - Voted rating: 0
03/27/00,1 Pd 10:48,Chris Dingman,COL,Brad Brown,CHI,Voted winner: Draw (50%) - Voted rating: 6
03/27/00,1 Pd 7:41,Jeff Odgers,COL,Ryan VandenBussche,CHI,Voted winner: Ryan VandenBussche (100%) - Voted rating: 5
03/26/00,1 Pd 18:53,Dan McGillis,PHI,Bob Boughner,PIT,Voted winner: Draw (50%) - Voted rating: 0
03/26/00,1 Pd 18:53,Daymond Langkow,PHI,Tyler Wright,PIT,Voted winner: Draw (50%) - Voted rating: 0
03/26/00,1 Pd 18:53,Chris Therien,PHI,Matthew Barnaby,PIT,Voted winner: Draw (50%) - Voted rating: 0
03/26/00,2 Pd 6:20,Tomas Holmstrom,DET,Stephane Quintal,NYR,Voted winner: Tomas Holmstrom (100%) - Voted rating: 5
03/25/00,2 Pd 8:0,Marc Moro,NSH,Chris Clark,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/25/00,2 Pd 17:7,Marc Moro,NSH,Jason Wiemer,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/25/00,1 Pd 3:25,Paul Laus,FLA,Sheldon Souray,MON,Voted winner: Draw (50%) - Voted rating: 0
03/24/00,2 Pd 15:16,Mike Rathje,SJS,Jeremy Roenick,ARI,Voted winner: Draw (50%) - Voted rating: 0
03/24/00,1 Pd 6:33,Grant Marshall,DAL,Jamie Allison,CHI,Voted winner: Jamie Allison (100%) - Voted rating: 6
03/23/00,1 Pd 5:30,Marc Moro,NSH,Jiri Fischer,DET,Voted winner: Draw (50%) - Voted rating: 0
03/23/00,1 Pd 14:53,Chris Gratton,BUF,Jeff Cowan,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/22/00,1 Pd 4:9,Wendel Clark,TOR,Brad Isbister,NYI,Voted winner: Brad Isbister (100%) - Voted rating: 3
03/22/00,2 Pd 17:7,Darcy Tucker,TOR,Olli Jokinen,NYI,Voted winner: Draw (50%) - Voted rating: 1
03/22/00,1 Pd 4:15,Martin Lapointe,DET,Jason Wiemer,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/22/00,1 Pd 16:5,Todd Gill,DET,Chris Clark,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/21/00,1 Pd 10:20,Ian Laperriere,LAK,Ed Ward,ANA,Voted winner: Draw (50%) - Voted rating: 0
03/21/00,3 Pd 11:50,Marc Moro,NSH,Rick Tocchet,PHI,Voted winner: Rick Tocchet (66.7%) - Voted rating: 7.2
03/21/00,2 Pd 6:47,Brad Isbister,NYI,Bob Boughner,PIT,Voted winner: Draw (50%) - Voted rating: 0
03/21/00,3 Pd 11:47,Ken Daneyko,NJD,David Karpa,CAR,Voted winner: Draw (50%) - Voted rating: 0
03/21/00,2 Pd 18:38,Landon Wilson,BOS,Gordie Dwyer,TBL,Voted winner: Draw (50%) - Voted rating: 4
03/20/00,1 Pd 2:27,Rob Ray,BUF,Jim Cummins,MON,Voted winner: Draw (50%) - Voted rating: 7
03/19/00,1 Pd 2:31,Bob Boughner,PIT,P.J. Stock,NYR,Voted winner: P.J. Stock (50%) - Voted rating: 5.5
03/19/00,3 Pd 18:15,Randy McKay,NJD,Todd Simpson,FLA,Voted winner: Draw (50%) - Voted rating: 0
03/19/00,2 Pd 10:54,Colin White,NJD,Paul Laus,FLA,Voted winner: Paul Laus (100%) - Voted rating: 6
03/19/00,2 Pd 14:29,Daymond Langkow,PHI,Darren Van Impe,BOS,Voted winner: Draw (50%) - Voted rating: 0
03/18/00,3 Pd 0:11,Dave Scatchard,NYI,Rob Niedermayer,FLA,Voted winner: Draw (50%) - Voted rating: 0
03/18/00,2 Pd 3:56,Dainius Zubrus,MON,Tommy Westlund,CAR,Voted winner: Draw (50%) - Voted rating: 0
03/18/00,1 Pd 14:38,Jamie Allison,CHI,Scott Thornton,DAL,Voted winner: Draw (50%) - Voted rating: 0
03/18/00,1 Pd 16:23,Hal Gill,BOS,Matthew Barnaby,PIT,Voted winner: Hal Gill (100%) - Voted rating: 6
03/16/00,2 Pd 16:48,Shean Donovan,ATL,Dave Scatchard,NYI,Voted winner: Draw (50%) - Voted rating: 0
03/15/00,2 Pd 13:41,Darcy Tucker,TOR,Dean McAmmond,CHI,Voted winner: Dean McAmmond (80%) - Voted rating: 6.4
03/15/00,3 Pd 8:12,Tie Domi,TOR,Jamie Allison,CHI,Voted winner: Tie Domi (100%) - Voted rating: 4
03/15/00,2 Pd 2:8,Sandy McCarthy,CAR,Georges Laraque,EDM,Voted winner: Georges Laraque (100%) - Voted rating: 5
03/14/00,1 Pd 14:34,Benoit Brunet,MON,Petr Svoboda,TBL,Voted winner: Draw (50%) - Voted rating: 0
03/13/00,1 Pd 15:39,Todd Harvey,SJS,Jason Wiemer,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/13/00,1 Pd 9:20,Steve McKenna,LAK,Brad May,VAN,Voted winner: Draw (50%) - Voted rating: 0
03/12/00,1 Pd 15:15,Aaron Gavey,DAL,Tyson Nash,STL,Voted winner: Draw (50%) - Voted rating: 0
03/12/00,2 Pd 15:46,Scott Walker,NSH,Jason Smith,EDM,Voted winner: Draw (50%) - Voted rating: 0
03/12/00,3 Pd 11:19,Rod Brind'Amour,CAR,Denny Lambert,ATL,Voted winner: Draw (50%) - Voted rating: 0
03/12/00,3 Pd 11:19,David Karpa,CAR,Kelly Buchberger,ATL,Voted winner: Kelly Buchberger (100%) - Voted rating: 5
03/11/00,1 Pd 1:6,Ian Laperriere,LAK,Clarke Wilm,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/11/00,1 Pd 3:10,Rob Blake,LAK,Eric Charron,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/11/00,1 Pd 9:12,Dan Bylsma,LAK,Derek Morris,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/11/00,1 Pd 11:19,Marko Tuomainen,LAK,Rene Corbet,CAL,Voted winner: Draw (50%) - Voted rating: 0
03/11/00,3 Pd 17:8,Lyle Odelein,ARI,Brad May,VAN,Voted winner: Draw (50%) - Voted rating: 0
03/11/00,2 Pd 14:18,Louie Debrusk,ARI,Jason Strudwick,VAN,Voted winner: Louie Debrusk (100%) - Voted rating: 7
03/11/00,2 Pd 15:6,Peter Worrell,FLA,Brad Brown,CHI,Voted winner: Draw (50%) - Voted rating: 0
03/11/00,1 Pd 4:8,Todd Simpson,FLA,Mark Janssens,CHI,Voted winner: Draw (50%) - Voted rating: 7
03/11/00,1 Pd 17:41,Paul Laus,FLA,Mark Janssens,CHI,Voted winner: Paul Laus (100%) - Voted rating: 5
03/11/00,1 Pd 18:59,Shayne Corson,MON,Cameron Mann,BOS,Voted winner: Shayne Corson (100%) - Voted rating: 4.67
03/11/00,2 Pd 4:56,Rudy Poeschek,STL,Stu Grimson,ANA,Voted winner: Rudy Poeschek (100%) - Voted rating: 6
03/10/00,1 Pd 11:37,Gordie Dwyer,TBL,Todd Simpson,FLA,Voted winner: Draw (50%) - Voted rating: 0
03/10/00,3 Pd 12:41,Wayne Primeau,TBL,Todd Simpson,FLA,Voted winner: Draw (50%) - Voted rating: 0
03/10/00,3 Pd 12:41,Jassen Cullimore,TBL,Scott Mellanby,FLA,Voted winner: Draw (50%) - Voted rating: 0
03/10/00,1 Pd 11:23,Bruce Gardiner,TBL,Scott Mellanby,FLA,Voted winner: Scott Mellanby (100%) - Voted rating: 5
03/10/00,3 Pd 8:0,Matt Johnson,ATL,Krzysztof Oliwa,NJD,Voted winner: Draw (50%) - Voted rating: 0
03/09/00,1 Pd 8:13,Louie Debrusk,ARI,Steve Webb,NYI,Voted winner: Louie Debrusk (100%) - Voted rating: 6
03/09/00,3 Pd 8:2,Dave Roche,CAL,Chris McAllister,TOR,Voted winner: Draw (50%) - Voted rating: 0
03/09/00,3 Pd 0:49,Chris Phillips,OTT,Matthew Barnaby,PIT,Voted winner: Chris Phillips (100%) - Voted rating: 5
03/08/00,2 Pd 17:48,Jeff Norton,SJS,Pat Verbeek,DET,Voted winner: Draw (50%) - Voted rating: 0
03/08/00,1 Pd 16:23,Brenden Morrow,DAL,Brent Sopel,VAN,Voted winner: Draw (50%) - Voted rating: 6
03/08/00,2 Pd 11:53,Brenden Morrow,DAL,Brent Sopel,VAN,Voted winner: Brenden Morrow (100%) - Voted rating: 7
03/08/00,2 Pd 19:21,Erik Rasmussen,BUF,Darren Van Impe,BOS,Voted winner: Draw (50%) - Voted rating: 0
03/07/00,2 Pd 20:0,Bert Robertsson,EDM,Steve Thomas,TOR,Voted winner: Draw (50%) - Voted rating: 10
03/07/00,2 Pd 16:21,Bill Lindsay,CAL,Adam Deadmarsh,COL,Voted winner: Draw (50%) - Voted rating: 0
03/07/00,3 Pd 16:35,Jamal Mayers,STL,Dallas Drake,ARI,Voted winner: Draw (50%) - Voted rating: 0
03/07/00,1 Pd 8:34,Bob Boughner,NSH,Chris Herperger,CHI,Voted winner: Draw (50%) - Voted rating: 0
03/07/00,2 Pd 7:49,Scott Walker,NSH,Bryan McCabe,CHI,Voted winner: Draw (50%) - Voted rating: 5
03/06/00,1 Pd 5:51,Brad May,VAN,Tie Domi,TOR,Voted winner: Tie Domi (50%) - Voted rating: 2
03/06/00,1 Pd 19:28,Craig Rivet,MON,Geordie Kinnear,ATL,Voted winner: Draw (50%) - Voted rating: 0
03/06/00,2 Pd 20:0,Turner Stevenson,MON,Denny Lambert,ATL,Voted winner: Draw (50%) - Voted rating: 0
03/05/00,1 Pd 18:26,Derian Hatcher,DAL,Brendan Shanahan,DET,Voted winner: Brendan Shanahan (42.9%) - Voted rating: 7.43
03/05/00,1 Pd 11:45,Brad Brown,CHI,Louie Debrusk,ARI,Voted winner: Draw (50%) - Voted rating: 0
03/05/00,3 Pd 1:28,Bryan McCabe,CHI,Jeremy Roenick,ARI,Voted winner: Draw (50%) - Voted rating: 8
03/05/00,1 Pd 3:49,Joe Murphy,WAS,Dixon Ward,BUF,Voted winner: Draw (50%) - Voted rating: 0
03/05/00,3 Pd 20:0,Steve Konowalchuk,WAS,Michael Peca,BUF,Voted winner: Steve Konowalchuk (100%) - Voted rating: 10
03/04/00,2 Pd 3:18,Murray Baron,VAN,Krzysztof Oliwa,NJD,Voted winner: Draw (50%) - Voted rating: 0
03/04/00,3 Pd 2:34,Tie Domi,TOR,Shayne Corson,MON,Voted winner: Shayne Corson (100%) - Voted rating: 9
03/04/00,1 Pd 13:55,Patrick Traverse,OTT,Kelly Buchberger,ATL,Voted winner: Draw (50%) - Voted rating: 0
03/03/00,2 Pd 18:11,Steve Passmore,CHI,Dan Cloutier,TBL,Voted winner: Dan Cloutier (88.9%) - Voted rating: 6.67
03/03/00,2 Pd 8:17,Brad Brown,CHI,Gordie Dwyer,TBL,Voted winner: Draw (50%) - Voted rating: 0
03/03/00,1 Pd 3:27,Ryan VandenBussche,CHI,Kyle Freadrich,TBL,Voted winner: Ryan VandenBussche (33.3%) - Voted rating: 9.67
03/02/00,2 Pd 7:37,Ian Laperriere,LAK,David Karpa,CAR,Voted winner: Draw (50%) - Voted rating: 0
03/01/00,1 Pd 2:30,Rick Tocchet,ARI,Gary Roberts,CAR,Voted winner: Rick Tocchet (36.8%) - Voted rating: 5.95
03/01/00,1 Pd 19:23,Vincent Lecavalier,TBL,Jeff Halpern,WAS,Voted winner: Draw (50%) - Voted rating: 0
02/29/00,2 Pd 18:1,Kyle McLaren,BOS,Andre Roy,OTT,Voted winner: Draw (50%) - Voted rating: 0
02/26/00,1 Pd 18:50,Jeff Cowan,CAL,Denny Lambert,ATL,Voted winner: Draw (50%) - Voted rating: 0
02/26/00,3 Pd 20:0,Robyn Regehr,CAL,Denny Lambert,ATL,Voted winner: Draw (50%) - Voted rating: 0
02/26/00,2 Pd 15:20,Scott Walker,NSH,Gordie Dwyer,TBL,Voted winner: Gordie Dwyer (72.2%) - Voted rating: 7.89
02/26/00,3 Pd 17:18,Bryan Berard,TOR,Michal Grosek,BUF,Voted winner: Draw (50%) - Voted rating: 0
02/26/00,3 Pd 18:7,Eric Cairns,NYI,Craig Berube,PHI,Voted winner: Eric Cairns (100%) - Voted rating: 6
02/25/00,1 Pd 19:13,Georges Laraque,EDM,Matt Johnson,ATL,Voted winner: Matt Johnson (100%) - Voted rating: 10
02/25/00,2 Pd 20:0,Jason Wiemer,CAL,Rick Tocchet,ARI,Voted winner: Jason Wiemer (100%) - Voted rating: 4
02/25/00,2 Pd 14:30,Kelly Chase,STL,Chris Dingman,COL,Voted winner: Draw (50%) - Voted rating: 0
02/25/00,1 Pd 13:19,Lyle Odelein,NJD,Tie Domi,TOR,Voted winner: Draw (50%) - Voted rating: 0
02/25/00,3 Pd 5:44,Martin Lapointe,DET,Ray Schultz,NYI,Voted winner: Martin Lapointe (100%) - Voted rating: 5
02/24/00,2 Pd 19:50,Bates Battaglia,CAR,Scott Mellanby,FLA,Voted winner: Draw (50%) - Voted rating: 0
02/23/00,1 Pd 3:24,Bill Lindsay,CAL,Ian Laperriere,LAK,Voted winner: Draw (50%) - Voted rating: 0
02/22/00,2 Pd 2:29,Jeff Odgers,COL,Rumun Ndur,ATL,Voted winner: Draw (50%) - Voted rating: 0
02/22/00,2 Pd 6:5,Chris Dingman,COL,Matt Johnson,ATL,Voted winner: Draw (50%) - Voted rating: 0
02/22/00,2 Pd 14:27,Craig Berube,PHI,Brad Brown,CHI,Voted winner: Draw (50%) - Voted rating: 0
02/21/00,1 Pd 2:9,Donald Brashear,VAN,Marty McSorley,BOS,Voted winner: Marty McSorley (75%) - Voted rating: 7.13
02/21/00,1 Pd 12:22,Brad May,VAN,Ken Belanger,BOS,Voted winner: Draw (50%) - Voted rating: 0
02/21/00,1 Pd 13:34,Sean Brown,EDM,Steve McKenna,LAK,Voted winner: Draw (50%) - Voted rating: 0
02/21/00,2 Pd 17:31,Georges Laraque,EDM,Steve McKenna,LAK,Voted winner: Draw (50%) - Voted rating: 0
02/21/00,1 Pd 10:50,Gordie Dwyer,TBL,Dennis Bonvie,PIT,Voted winner: Draw (50%) - Voted rating: 4
02/21/00,1 Pd 15:36,Steve Webb,NYI,Darren McCarty,DET,Voted winner: Darren McCarty (100%) - Voted rating: 7.83
02/20/00,2 Pd 14:13,Chris Dingman,COL,Jamie Pushor,DAL,Voted winner: Draw (50%) - Voted rating: 4
02/19/00,2 Pd 9:11,Bert Robertsson,EDM,Cale Hulse,CAL,Voted winner: Draw (50%) - Voted rating: 0
02/19/00,2 Pd 3:4,Nolan Pratt,CAR,Gordie Dwyer,TBL,Voted winner: Draw (50%) - Voted rating: 0
02/19/00,3 Pd 15:6,Keith Jones,PHI,Joe Sacco,WAS,Voted winner: Keith Jones (100%) - Voted rating: 7
02/19/00,1 Pd 12:31,Scott Stevens,NJD,Steve Webb,NYI,Voted winner: Scott Stevens (100%) - Voted rating: 6.5
02/18/00,2 Pd 16:24,Bob Probert,CHI,Jim McKenzie,WAS,Voted winner: Draw (50%) - Voted rating: 0
02/18/00,1 Pd 1:25,Jason Wiemer,CAL,Bill Guerin,EDM,Voted winner: Draw (50%) - Voted rating: 0
02/17/00,1 Pd 12:33,Shaun Van Allen,OTT,Nils Ekman,TBL,Voted winner: Draw (50%) - Voted rating: 0
02/16/00,1 Pd 12:16,Peter Worrell,FLA,Stephane Quintal,NYR,Voted winner: Draw (50%) - Voted rating: 0
02/16/00,1 Pd 2:16,Matt Johnson,ATL,Dave Morissette,MON,Voted winner: Dave Morissette (100%) - Voted rating: 5
02/15/00,2 Pd 11:14,Lyle Odelein,NJD,Craig Berube,PHI,Voted winner: Draw (50%) - Voted rating: 0
02/15/00,3 Pd 10:30,Radek Bonk,OTT,Sean Hill,CAR,Voted winner: Draw (50%) - Voted rating: 0
02/15/00,3 Pd 10:30,Wade Redden,OTT,Nolan Pratt,CAR,Voted winner: Draw (50%) - Voted rating: 0
02/14/00,3 Pd 17:0,Darcy Tucker,TOR,David Karpa,CAR,Voted winner: Draw (50%) - Voted rating: 0
02/14/00,2 Pd 17:35,Igor Ulanov,MON,Peter Worrell,FLA,Voted winner: Draw (50%) - Voted rating: 3
02/14/00,2 Pd 17:47,Eric Weinrich,MON,Scott Mellanby,FLA,Voted winner: Draw (50%) - Voted rating: 0
02/13/00,2 Pd 14:54,Scott Thornton,DAL,Jim McKenzie,WAS,Voted winner: Draw (50%) - Voted rating: 0
02/12/00,1 Pd 8:26,Kelly Chase,STL,Mike LeClerc,ANA,Voted winner: Kelly Chase (100%) - Voted rating: 4
02/12/00,3 Pd 18:50,Ray Schultz,NYI,Matthew Barnaby,PIT,Voted winner: Draw (50%) - Voted rating: 6
02/12/00,2 Pd 9:48,Rumun Ndur,ATL,Ryan VandenBussche,CHI,Voted winner: Ryan VandenBussche (100%) - Voted rating: 5
02/11/00,2 Pd 7:27,Ian Laperriere,LAK,Jamie Pushor,DAL,Voted winner: Draw (50%) - Voted rating: 0
02/11/00,1 Pd 6:45,Dennis Bonvie,PIT,Georges Laraque,EDM,Voted winner: Draw (50%) - Voted rating: 7.5
02/11/00,1 Pd 7:34,Chris Tamer,ATL,Ronnie Stern,SJS,Voted winner: Draw (50%) - Voted rating: 0
02/10/00,1 Pd 0:8,Adam Deadmarsh,COL,Steve Begin,CAL,Voted winner: Draw (50%) - Voted rating: 0
02/10/00,1 Pd 8:5,Chris Dingman,COL,Wade Belak,CAL,Voted winner: Draw (50%) - Voted rating: 0
02/10/00,1 Pd 1:39,Keith Primeau,PHI,Bill Guerin,EDM,Voted winner: Draw (50%) - Voted rating: 3
02/10/00,2 Pd 4:22,Olli Jokinen,NYI,Pavel Kubina,TBL,Voted winner: Draw (50%) - Voted rating: 0
02/10/00,2 Pd 14:4,Mike Watt,NYI,Ben Clymer,TBL,Voted winner: Draw (50%) - Voted rating: 0
02/10/00,2 Pd 4:22,Eric Cairns,NYI,Chris Gratton,TBL,Voted winner: Eric Cairns (100%) - Voted rating: 5
02/10/00,2 Pd 4:22,Ted Drury,NYI,Jassen Cullimore,TBL,Voted winner: Jassen Cullimore (100%) - Voted rating: 3
02/09/00,2 Pd 13:31,Donald Brashear,VAN,Robyn Regehr,CAL,Voted winner: Donald Brashear (100%) - Voted rating: 3
02/09/00,1 Pd 6:3,Louie Debrusk,ARI,Sean O'Donnell,LAK,Voted winner: Draw (50%) - Voted rating: 0
02/09/00,1 Pd 5:14,Dennis Bonvie,PIT,Rumun Ndur,ATL,Voted winner: Draw (50%) - Voted rating: 7
02/09/00,3 Pd 17:38,Brad Werenka,PIT,Steve Staios,ATL,Voted winner: Draw (50%) - Voted rating: 0
02/09/00,1 Pd 12:59,Scott Gomez,NJD,Tim Taylor,NYR,Voted winner: Scott Gomez (33.3%) - Voted rating: 6
02/09/00,2 Pd 2:2,Peter Worrell,FLA,Todd Harvey,SJS,Voted winner: Peter Worrell (100%) - Voted rating: 6
02/08/00,3 Pd 10:45,Ben Clymer,TBL,Todd Harvey,SJS,Voted winner: Draw (50%) - Voted rating: 0
02/03/00,1 Pd 0:2,Brad May,VAN,Jamal Mayers,STL,Voted winner: Brad May (100%) - Voted rating: 5
02/03/00,2 Pd 16:33,Travis Green,ARI,Brenden Morrow,DAL,Voted winner: Draw (50%) - Voted rating: 0
02/03/00,1 Pd 5:9,Wade Belak,CAL,Bob Probert,CHI,Voted winner: Bob Probert (100%) - Voted rating: 4
02/02/00,1 Pd 8:55,Bill Guerin,EDM,Jean-Yves Leroux,CHI,Voted winner: Draw (50%) - Voted rating: 0
02/02/00,2 Pd 13:16,Bill Guerin,EDM,Jean-Yves Leroux,CHI,Voted winner: Draw (50%) - Voted rating: 0
02/02/00,2 Pd 6:34,Dave Scatchard,NYI,Bob Boughner,NSH,Voted winner: Draw (50%) - Voted rating: 0
02/01/00,1 Pd 2:47,Bill Lindsay,CAL,Tyson Nash,STL,Voted winner: Draw (50%) - Voted rating: 0
02/01/00,1 Pd 15:8,Matthew Barnaby,PIT,Joe Sacco,WAS,Voted winner: Draw (50%) - Voted rating: 0
02/01/00,3 Pd 8:3,Kevin Dineen,OTT,Darren Van Impe,BOS,Voted winner: Draw (50%) - Voted rating: 0
01/31/00,2 Pd 12:52,Ian Laperriere,LAK,Steve Webb,NYI,Voted winner: Steve Webb (100%) - Voted rating: 7
01/31/00,1 Pd 2:1,Rumun Ndur,ATL,Matthew Barnaby,PIT,Voted winner: Rumun Ndur (100%) - Voted rating: 5
01/30/00,1 Pd 5:4,Jason Strudwick,VAN,Ryan VandenBussche,CHI,Voted winner: Draw (50%) - Voted rating: 0
01/29/00,2 Pd 0:46,Owen Nolan,SJS,Gino Odjick,NYI,Voted winner: Owen Nolan (100%) - Voted rating: 5
01/29/00,1 Pd 14:44,Tyson Nash,STL,Greg de Vries,COL,Voted winner: Draw (50%) - Voted rating: 0
01/29/00,3 Pd 7:5,Kelly Chase,STL,Jeff Odgers,COL,Voted winner: Draw (50%) - Voted rating: 0
01/29/00,3 Pd 16:1,Kelly Chase,STL,Greg de Vries,COL,Voted winner: Draw (50%) - Voted rating: 0
01/29/00,1 Pd 15:32,Stephen Guolla,TBL,Jason Botterill,ATL,Voted winner: Draw (50%) - Voted rating: 0
01/29/00,3 Pd 20:0,Darcy Tucker,TBL,Kelly Buchberger,ATL,Voted winner: Draw (50%) - Voted rating: 0
01/29/00,3 Pd 20:0,Bryan Muir,TBL,Matt Johnson,ATL,Voted winner: Draw (50%) - Voted rating: 0
01/29/00,2 Pd 14:36,Darius Kasparaitis,PIT,Mike LeClerc,ANA,Voted winner: Mike LeClerc (100%) - Voted rating: 3.5
01/29/00,2 Pd 18:27,Brendan Shanahan,DET,Denis Pederson,NJD,Voted winner: Draw (50%) - Voted rating: 0
01/29/00,2 Pd 5:44,Joe Thornton,BOS,Alexei Zhitnik,BUF,Voted winner: Joe Thornton (100%) - Voted rating: 7
01/29/00,1 Pd 11:10,Igor Ulanov,MON,Luke Richardson,PHI,Voted winner: Draw (50%) - Voted rating: 0
01/28/00,1 Pd 6:16,Jason Strudwick,VAN,Ronnie Stern,SJS,Voted winner: Draw (50%) - Voted rating: 0
01/28/00,1 Pd 4:22,Todd Bertuzzi,VAN,Owen Nolan,SJS,Voted winner: Todd Bertuzzi (100%) - Voted rating: 6
01/28/00,1 Pd 4:1,Rhett Warrener,BUF,Andre Roy,OTT,Voted winner: Draw (50%) - Voted rating: 5
01/27/00,1 Pd 3:55,Dennis Bonvie,PIT,Matt Johnson,ATL,Voted winner: Draw (50%) - Voted rating: 0
01/27/00,2 Pd 2:33,Sandy McCarthy,PHI,Peter Worrell,FLA,Voted winner: Draw (50%) - Voted rating: 7
01/27/00,3 Pd 18:1,Eric Lindros,PHI,Todd Simpson,FLA,Voted winner: Draw (50%) - Voted rating: 6.5
