date_of_fight,idk_column,player1_name,player1_team,player2_name,player2_team,winner
11/27/09,2 Pd 10:52,Shawn Thornton,BOS,Andrew Peters,NJD,Voted winner: Andrew Peters (84.3%) - Voted rating: 3.85
11/25/09,1 Pd 11:40,Brandon Prust,CAL,Paul Bissonnette,ARI,Voted winner: Brandon Prust (58.1%) - Voted rating: 4.45
11/25/09,2 Pd 4:47,Jean-Francois Jacques,EDM,Sean O'Donnell,LAK,Voted winner: Sean O'Donnell (36.1%) - Voted rating: 4.1
11/25/09,2 Pd 16:9,Steve Ott,DAL,Eric Brewer,STL,Voted winner: Eric Brewer (63%) - Voted rating: 3.81
11/25/09,1 Pd 2:26,Krys Barch,DAL,Cam Janssen,STL,Voted winner: Cam Janssen (60.1%) - Voted rating: 7.58
11/25/09,3 Pd 5:40,Victor Oreskovich,FLA,Matt Gilroy,NYR,Voted winner: Victor Oreskovich (86.1%) - Voted rating: 3.47
11/25/09,2 Pd 10:46,Steve MacIntyre,FLA,Donald Brashear,NYR,Voted winner: Steve MacIntyre (68.5%) - Voted rating: 5.92
11/25/09,1 Pd 19:50,Nate Thompson,NYI,Ian Laperriere,PHI,Voted winner: Nate Thompson (51.9%) - Voted rating: 4.83
11/25/09,1 Pd 4:52,Brendan Witt,NYI,Ian Laperriere,PHI,Voted winner: Ian Laperriere (77.5%) - Voted rating: 4.59
11/23/09,1 Pd 2:57,George Parros,ANA,Brian McGrattan,CAL,Voted winner: Brian McGrattan (73.5%) - Voted rating: 6.32
11/23/09,2 Pd 16:29,Marek Svatos,COL,Claude Giroux,PHI,Voted winner: Claude Giroux (63.7%) - Voted rating: 4.29
11/23/09,1 Pd 1:54,Zack Stortini,EDM,Paul Bissonnette,ARI,Voted winner: Paul Bissonnette (53.3%) - Voted rating: 3.56
11/23/09,1 Pd 0:25,Brenden Morrow,DAL,Tim Gleason,CAR,Voted winner: Brenden Morrow (62.4%) - Voted rating: 5.93
11/23/09,2 Pd 7:22,Barret Jackman,STL,Byron Bitz,BOS,Voted winner: Barret Jackman (26.9%) - Voted rating: 3.61
11/23/09,1 Pd 5:21,Bryan Allen,FLA,Michael Rupp,PIT,Voted winner: Michael Rupp (91.6%) - Voted rating: 4.47
11/23/09,2 Pd 8:42,Aaron Voros,NYR,Jared Boll,CBJ,Voted winner: Jared Boll (30.4%) - Voted rating: 7.68
11/23/09,3 Pd 2:14,Donald Brashear,NYR,Jared Boll,CBJ,Voted winner: Donald Brashear (82.6%) - Voted rating: 3.21
11/22/09,1 Pd 4:27,Rick Rypien,VAN,Ben Eager,CHI,Voted winner: Ben Eager (44.1%) - Voted rating: 4.46
11/21/09,1 Pd 3:31,George Parros,ANA,Frazer McLaren,SJS,Voted winner: George Parros (75%) - Voted rating: 5.21
11/21/09,3 Pd 6:52,Ilya Kovalchuk,ATL,Matt Cooke,PIT,Voted winner: Ilya Kovalchuk (39.3%) - Voted rating: 3.79
11/21/09,2 Pd 18:14,Evander Kane,ATL,Deryk Engelland,PIT,Voted winner: Deryk Engelland (81.5%) - Voted rating: 3.12
11/20/09,2 Pd 1:1,Frazer McLaren,SJS,Dan Carcillo,PHI,Voted winner: Frazer McLaren (90.3%) - Voted rating: 5.32
11/20/09,2 Pd 9:31,Marc-Edouard Vlasic,SJS,Danny Briere,PHI,Voted winner: Danny Briere (17.4%) - Voted rating: 1.79
11/20/09,1 Pd 18:6,Tanner Glass,VAN,Cody McLeod,COL,Voted winner: Tanner Glass (32.9%) - Voted rating: 3.14
11/20/09,1 Pd 4:35,Nathan Smith,MIN,Nate Thompson,NYI,Voted winner: Nathan Smith (51.5%) - Voted rating: 6.6
11/20/09,1 Pd 17:56,Shane Hnidy,MIN,Tim Jackman,NYI,Voted winner: Tim Jackman (80.2%) - Voted rating: 4.52
11/20/09,1 Pd 19:59,John Erskine,WAS,Georges Laraque,MON,Voted winner: John Erskine (80.4%) - Voted rating: 3.89
11/19/09,2 Pd 3:10,Mike Brown,ANA,Zenon Konopka,TBL,Voted winner: Zenon Konopka (18.3%) - Voted rating: 3.33
11/19/09,2 Pd 18:25,Dion Phaneuf,CAL,Brent Seabrook,CHI,Voted winner: Dion Phaneuf (50%) - Voted rating: 4.16
11/19/09,2 Pd 4:35,Eric Nystrom,CAL,Colin Fraser,CHI,Voted winner: Eric Nystrom (55%) - Voted rating: 4.2
11/19/09,1 Pd 17:6,Krys Barch,DAL,Jared Boll,CBJ,Voted winner: Krys Barch (33%) - Voted rating: 5.31
11/19/09,1 Pd 14:49,Steve Ott,DAL,Jason Chimera,CBJ,Voted winner: Steve Ott (70.6%) - Voted rating: 4.82
11/19/09,1 Pd 14:26,Trevor Daley,DAL,Derek Dorsett,CBJ,Voted winner: Trevor Daley (29.9%) - Voted rating: 4.78
11/19/09,3 Pd 18:9,Chris Neil,OTT,Eric Godard,PIT,Voted winner: Eric Godard (80.1%) - Voted rating: 7.56
11/19/09,2 Pd 6:31,Tom Kostopoulos,CAR,Jamal Mayers,TOR,Voted winner: Jamal Mayers (47.2%) - Voted rating: 1.75
11/19/09,3 Pd 3:25,Erik Cole,CAR,Ian White,TOR,Voted winner: Ian White (95.9%) - Voted rating: 4.89
11/18/09,2 Pd 12:18,Zack Stortini,EDM,Ryan Wilson,COL,Voted winner: Zack Stortini (69.8%) - Voted rating: 3.37
11/18/09,2 Pd 7:21,Brad May,DET,Krys Barch,DAL,Voted winner: Brad May (88.7%) - Voted rating: 7.03
11/17/09,3 Pd 19:56,Rene Bourque,CAL,Kyle Quincey,COL,Voted winner: Rene Bourque (79%) - Voted rating: 4.32
11/17/09,1 Pd 4:23,Brandon Prust,CAL,Chris Stewart,COL,Voted winner: Chris Stewart (39.8%) - Voted rating: 3.35
11/17/09,1 Pd 11:7,Chris Neil,OTT,Luke Schenn,TOR,Voted winner: Chris Neil (81.4%) - Voted rating: 3.67
11/17/09,1 Pd 2:49,Jesse Winchester,OTT,Jeff Finger,TOR,Voted winner: Jesse Winchester (86.7%) - Voted rating: 4.11
11/17/09,2 Pd 1:14,Jarkko Ruutu,OTT,John Mitchell,TOR,Voted winner: Jarkko Ruutu (78.4%) - Voted rating: 5.69
11/17/09,1 Pd 10:4,Matt Carkner,OTT,Colton Orr,TOR,Voted winner: Colton Orr (97.4%) - Voted rating: 7.45
11/17/09,1 Pd 10:39,Aaron Voros,NYR,Matt Bradley,WAS,Voted winner: Aaron Voros (65.8%) - Voted rating: 7.54
11/16/09,3 Pd 3:15,Paul Bissonnette,ARI,Matt Walker,TBL,Voted winner: Paul Bissonnette (31.6%) - Voted rating: 4.28
11/16/09,2 Pd 6:31,Kenndal McArdle,FLA,Wayne Simmonds,LAK,Voted winner: Kenndal McArdle (15%) - Voted rating: 4.78
11/16/09,3 Pd 0:57,Bill Guerin,PIT,Ryan Getzlaf,ANA,Voted winner: Bill Guerin (25.2%) - Voted rating: 3.13
11/16/09,1 Pd 2:41,Mike Blunden,CBJ,Zack Stortini,EDM,Voted winner: Zack Stortini (90.1%) - Voted rating: 4.89
11/16/09,1 Pd 2:43,Tom Sestito,CBJ,Jason Strudwick,EDM,Voted winner: Jason Strudwick (77.8%) - Voted rating: 5.74
11/16/09,1 Pd 10:18,Shawn Thornton,BOS,Tim Jackman,NYI,Voted winner: Shawn Thornton (93.3%) - Voted rating: 6.13
11/15/09,2 Pd 0:42,Ben Eager,CHI,Douglas Murray,SJS,Voted winner: Douglas Murray (75.7%) - Voted rating: 4.49
11/14/09,3 Pd 18:4,Cody McLeod,COL,Rick Rypien,VAN,Voted winner: Rick Rypien (57.1%) - Voted rating: 6.39
11/14/09,2 Pd 4:54,Paul Bissonnette,ARI,Krys Barch,DAL,Voted winner: Paul Bissonnette (46.3%) - Voted rating: 4.47
11/14/09,1 Pd 8:16,Cam Janssen,STL,Brad Staubitz,SJS,Voted winner: Cam Janssen (96.4%) - Voted rating: 6.41
11/14/09,1 Pd 11:25,Zenon Konopka,TBL,Raitis Ivanans,LAK,Voted winner: Raitis Ivanans (24.7%) - Voted rating: 3.72
11/14/09,1 Pd 6:42,Deryk Engelland,PIT,Byron Bitz,BOS,Voted winner: Deryk Engelland (74.5%) - Voted rating: 3.57
11/14/09,1 Pd 2:27,Colton Orr,TOR,Brian McGrattan,CAL,Voted winner: Colton Orr (97.3%) - Voted rating: 7.8
11/14/09,1 Pd 2:28,Jamal Mayers,TOR,Brandon Prust,CAL,Voted winner: Jamal Mayers (50%) - Voted rating: 4.67
11/14/09,3 Pd 8:3,Francois Beauchemin,TOR,Olli Jokinen,CAL,Voted winner: Francois Beauchemin (82.2%) - Voted rating: 2.85
11/13/09,2 Pd 11:52,Troy Brouwer,CHI,Luke Schenn,TOR,Voted winner: Troy Brouwer (53.3%) - Voted rating: 3.52
11/13/09,2 Pd 17:19,Paul Gaustad,BUF,Dion Phaneuf,CAL,Voted winner: Paul Gaustad (45.3%) - Voted rating: 2.34
11/13/09,1 Pd 5:2,Adam Mair,BUF,Brandon Prust,CAL,Voted winner: Brandon Prust (46.5%) - Voted rating: 6.94
11/13/09,2 Pd 16:8,Jim Slater,ATL,Brad Richardson,LAK,Voted winner: Jim Slater (75.9%) - Voted rating: 4.39
11/13/09,2 Pd 16:8,Chris Thorburn,ATL,Raitis Ivanans,LAK,Voted winner: Chris Thorburn (79.6%) - Voted rating: 4.86
11/12/09,1 Pd 13:51,Brad Staubitz,SJS,Krys Barch,DAL,Voted winner: Brad Staubitz (63.4%) - Voted rating: 3.33
11/12/09,2 Pd 5:24,Paul Bissonnette,ARI,Jay Leach,MON,Voted winner: Paul Bissonnette (93.4%) - Voted rating: 5.27
11/12/09,1 Pd 2:24,Brad May,DET,Rick Rypien,VAN,Voted winner: Rick Rypien (76%) - Voted rating: 7.98
11/12/09,2 Pd 4:5,Ian Laperriere,PHI,Matt Carkner,OTT,Voted winner: Matt Carkner (89.1%) - Voted rating: 5.84
11/12/09,2 Pd 11:34,Shawn Thornton,BOS,Bryan Allen,FLA,Voted winner: Shawn Thornton (55.6%) - Voted rating: 3.4
11/12/09,1 Pd 4:44,Donald Brashear,NYR,Eric Boulton,ATL,Voted winner: Donald Brashear (82.7%) - Voted rating: 5.88
11/12/09,1 Pd 6:59,Ryan Callahan,NYR,Zach Bogosian,ATL,Voted winner: Zach Bogosian (42.3%) - Voted rating: 4.58
11/11/09,1 Pd 2:16,Colin Fraser,CHI,Matt Hendricks,COL,Voted winner: Matt Hendricks (61.6%) - Voted rating: 4.18
11/11/09,1 Pd 18:31,Colin Fraser,CHI,Cody McLeod,COL,Voted winner: Cody McLeod (23.9%) - Voted rating: 3.06
11/11/09,1 Pd 5:4,Jared Boll,CBJ,Brad May,DET,Voted winner: Jared Boll (67.5%) - Voted rating: 3.2
11/10/09,2 Pd 16:40,Cam Janssen,STL,Tanner Glass,VAN,Voted winner: Cam Janssen (85.4%) - Voted rating: 7.56
11/10/09,1 Pd 0:34,B.J. Crombeen,STL,Kevin Bieksa,VAN,Voted winner: Kevin Bieksa (86.9%) - Voted rating: 5.28
11/10/09,3 Pd 15:4,Cam Janssen,STL,Darcy Hordichuk,VAN,Voted winner: Darcy Hordichuk (45.3%) - Voted rating: 5.05
11/10/09,3 Pd 9:45,B.J. Crombeen,STL,Kevin Bieksa,VAN,Voted winner: B.J. Crombeen (58.8%) - Voted rating: 3.41
11/10/09,1 Pd 11:38,Travis Moen,MON,Adam Pardy,CAL,Voted winner: Travis Moen (64.6%) - Voted rating: 3.8
11/10/09,1 Pd 14:56,Ryan White,MON,Eric Nystrom,CAL,Voted winner: Eric Nystrom (25.6%) - Voted rating: 3.15
11/07/09,3 Pd 7:59,Jody Shelley,SJS,Jay McKee,PIT,Voted winner: Jody Shelley (47.6%) - Voted rating: 2.58
11/07/09,3 Pd 16:6,Jody Shelley,SJS,Eric Godard,PIT,Voted winner: Jody Shelley (87.6%) - Voted rating: 6.47
11/07/09,1 Pd 16:45,Brad Staubitz,SJS,Michael Rupp,PIT,Voted winner: Michael Rupp (28.7%) - Voted rating: 3.74
11/07/09,1 Pd 15:10,Matt Carkner,OTT,Andrew Peters,NJD,Voted winner: Matt Carkner (44.3%) - Voted rating: 5.27
11/07/09,1 Pd 14:29,Shawn Thornton,BOS,Steve Montador,BUF,Voted winner: Shawn Thornton (87.5%) - Voted rating: 5.67
11/07/09,1 Pd 9:45,Arron Asham,PHI,Cam Janssen,STL,Voted winner: Cam Janssen (58%) - Voted rating: 7.84
11/07/09,3 Pd 14:0,Shawn Thornton,BOS,Paul Gaustad,BUF,Voted winner: Shawn Thornton (82.2%) - Voted rating: 4.63
11/07/09,3 Pd 17:10,Mark Stuart,BOS,Jochen Hecht,BUF,Voted winner: Mark Stuart (85.6%) - Voted rating: 3.67
11/07/09,1 Pd 18:14,Matt Bradley,WAS,Kenndal McArdle,FLA,Voted winner: Matt Bradley (15.4%) - Voted rating: 1.52
11/06/09,1 Pd 2:6,Matt Hendricks,COL,Colin Fraser,CHI,Voted winner: Matt Hendricks (23.3%) - Voted rating: 2.23
11/06/09,1 Pd 0:40,David Clarkson,NJD,Tim Jackman,NYI,Voted winner: David Clarkson (32.6%) - Voted rating: 6.22
11/05/09,2 Pd 15:49,George Parros,ANA,Wade Belak,NSH,Voted winner: Wade Belak (77.4%) - Voted rating: 4.95
