,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
236,70.0,-7.0,,
237,46.0,11.0,,
238,35.0,-2.0,,
239,33.0,-4.0,,
240,14.0,-24.0,,
241,32.0,-3.0,,
242,59.0,14.0,,
243,50.0,36.0,,
244,71.0,17.0,,
245,33.0,0.0,,
246,37.0,36.0,,
247,32.0,-14.0,,
248,42.0,-1.0,,
249,67.0,-28.0,,
250,71.0,-15.0,,
251,73.0,-10.0,,
252,41.0,-32.0,,
253,66.0,-4.0,,
254,66.0,2.0,,
255,61.0,21.0,,
256,70.0,-17.0,,
257,50.0,29.0,,
258,42.0,12.0,,
259,72.0,6.0,,
260,69.0,19.0,,
261,79.0,6.0,,
262,65.0,17.0,,
263,42.0,7.0,,
264,51.0,-34.0,,
265,56.0,37.0,,
266,72.0,16.0,,
267,77.0,17.0,,
268,58.0,-31.0,,
269,39.0,36.0,,
270,67.0,19.0,,
271,80.0,4.0,,
272,34.0,6.0,,
273,48.0,13.0,,
274,67.0,-33.0,,
275,85.0,12.0,,
276,37.0,-22.0,,
277,36.0,25.0,,
278,70.0,33.0,,
279,61.0,27.0,,
280,43.0,-33.0,,
281,64.0,0.0,,
282,61.0,7.0,,
283,73.0,-25.0,,
284,54.0,16.0,,
285,65.0,28.0,,
286,70.0,-17.0,,
287,65.0,28.0,,
288,66.0,29.0,,
289,71.0,16.0,,
290,38.0,-4.0,,
291,59.0,12.0,,
292,68.0,9.0,,
293,68.0,15.0,,
294,39.0,-14.0,,
295,56.0,15.0,,
296,55.0,26.0,,
297,75.0,-4.0,,
298,79.0,-3.0,,
299,35.0,-16.0,,
300,70.0,-11.0,,
301,54.0,2.0,,
302,80.0,-6.0,,
303,39.0,-21.0,,
304,51.0,-12.0,,
305,63.0,5.0,,
306,70.0,-12.0,,
307,32.0,7.0,,
308,43.0,28.0,,
309,37.0,-31.0,,
310,80.0,-6.0,,
311,73.0,-13.0,,
312,80.0,-6.0,,
313,72.0,-1.0,,
314,87.0,22.0,,
