,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
197,70.0,32.0,,
198,75.0,-16.0,,
199,39.0,-3.0,,
200,74.0,16.0,,
201,69.0,31.0,,
202,76.0,-12.0,,
203,36.0,2.0,,
204,80.0,11.0,,
205,70.0,17.0,,
206,72.0,23.0,,
207,79.0,-12.0,,
208,75.0,-19.0,,
209,82.0,-14.0,,
210,61.0,6.0,,
211,71.0,-5.0,,
212,75.0,-14.0,,
213,76.0,-5.0,,
214,77.0,4.0,,
215,81.0,-4.0,,
216,81.0,-3.0,,
217,57.0,20.0,,
218,84.0,-7.0,,
219,71.0,-10.0,,
220,82.0,-7.0,,
221,50.0,-39.0,,
222,74.0,-2.0,,
223,56.0,-27.0,,
224,36.0,19.0,,
225,58.0,-22.0,,
226,64.0,-32.0,,
227,51.0,10.0,,
228,50.0,23.0,,
229,67.0,27.0,,
230,84.0,-12.0,,
231,75.0,-1.0,,
232,34.0,-4.0,,
233,72.0,11.0,,
234,83.0,5.0,,
235,82.0,-11.0,,
236,80.0,-11.0,,
237,63.0,4.0,,
238,83.0,-8.0,,
239,34.0,-22.0,,
240,55.0,-16.0,,
241,70.0,26.0,,
242,79.0,12.0,,
243,81.0,1.0,,
244,82.0,12.0,,
245,84.0,-11.0,,
246,78.0,12.0,,
247,66.0,36.0,,
248,84.0,7.0,,
249,55.0,-9.0,,
250,54.0,9.0,,
251,76.0,-14.0,,
252,83.0,18.0,,
253,74.0,-17.0,,
254,35.0,-10.0,,
255,54.0,24.0,,
256,64.0,-14.0,,
257,74.0,13.0,,
258,76.0,6.0,,
259,78.0,3.0,,
260,78.0,8.0,,
261,49.0,-2.0,,
262,68.0,-12.0,,
263,77.0,-3.0,,
264,74.0,-22.0,,
265,57.0,-2.0,,
266,72.0,-19.0,,
267,80.0,-8.0,,
268,52.0,37.0,,
269,64.0,15.0,,
270,76.0,0.0,,
271,86.0,5.0,,
272,60.0,-10.0,,
273,35.0,12.0,,
274,67.0,10.0,,
275,65.0,-1.0,,
276,72.0,10.0,,
277,69.0,-23.0,,
278,52.0,-29.0,,
279,74.0,7.0,,
280,33.0,-28.0,,
281,66.0,-18.0,,
282,65.0,10.0,,
283,67.0,-22.0,,
284,76.0,-14.0,,
285,54.0,20.0,,
286,68.0,-4.0,,
287,46.0,8.0,,
288,70.0,6.0,,
289,76.0,-3.0,,
290,27.0,15.0,,
291,38.0,30.0,,
292,62.0,-23.0,,
293,65.0,31.0,,
294,50.0,33.0,,
295,31.0,-33.0,,
296,74.0,11.0,,
297,62.0,23.0,,
298,76.0,11.0,,
299,53.0,34.0,,
300,79.0,11.0,,
301,74.0,1.0,,
302,63.0,4.0,,
303,70.0,-18.0,,
304,40.0,23.0,,
305,79.0,-3.0,,
306,80.0,27.0,,
307,70.0,-20.0,,
308,81.0,-18.0,,
309,76.0,7.0,,
310,59.0,-25.0,,
311,72.0,-30.0,,
312,45.0,20.0,,
313,39.0,-9.0,,
314,49.0,-18.0,,
315,59.0,-2.0,,
316,76.0,29.0,,
317,69.0,10.0,,
318,45.0,2.0,,
319,82.0,-14.0,,
320,86.0,-26.0,,
321,64.0,2.0,,
322,36.0,6.0,,
323,85.0,10.0,,
324,39.0,-6.0,,
325,41.0,-23.0,,
326,77.0,-0.0,,
327,84.0,-5.0,,
328,77.0,-13.0,,
329,37.0,1.0,,
330,70.0,-8.0,,
331,81.0,-30.0,,
332,74.0,13.0,,
333,40.0,3.0,,
334,40.0,33.0,,
335,49.0,34.0,,
336,34.0,27.0,,
337,44.0,-3.0,,
338,70.0,-0.0,,
339,60.0,36.0,,
340,77.0,-10.0,,
341,39.0,10.0,,
342,78.0,10.0,,
343,54.0,0.0,,
344,64.0,-16.0,,
345,79.0,2.0,,
346,78.0,9.0,,
347,85.0,8.0,,
348,76.0,7.0,,
349,77.0,-16.0,,
350,76.0,12.0,,
351,68.0,-27.0,,
352,80.0,2.0,,
353,85.0,-22.0,,
354,82.0,-13.0,,
355,73.0,-1.0,,
356,40.0,4.0,,
357,84.0,8.0,,
358,86.0,12.0,,
359,53.0,15.0,,
360,73.0,-13.0,,
361,61.0,-9.0,,
362,82.0,-14.0,,
363,79.0,5.0,,
364,78.0,2.0,,
365,32.0,-11.0,,
366,79.0,10.0,,
367,78.0,-6.0,,
368,75.0,-2.0,,
369,63.0,20.0,,
370,50.0,-15.0,,
371,44.0,34.0,,
372,63.0,-32.0,,
373,29.0,17.0,,
374,68.0,2.0,,
375,59.0,32.0,,
376,74.0,2.0,,
377,56.0,31.0,,
378,85.0,-18.0,,
379,75.0,-1.0,,
380,62.0,39.0,,
381,80.0,11.0,,
382,84.0,-8.0,,
383,72.0,-7.0,,
384,77.0,-0.0,,
385,76.0,-14.0,,
386,74.0,-20.0,,
