,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
223,81.0,-10.0,,
224,83.0,-1.0,,
225,27.0,10.0,,
226,66.0,-7.0,,
227,71.0,-9.0,,
228,83.0,-2.0,,
229,66.0,20.0,,
230,70.0,-23.0,,
231,34.0,4.0,,
232,64.0,20.0,,
233,35.0,-34.0,,
234,42.0,14.0,,
235,72.0,3.0,,
236,69.0,-13.0,,
237,36.0,28.0,,
238,82.0,-0.0,,
239,51.0,24.0,,
240,62.0,-15.0,,
241,33.0,-7.0,,
242,84.0,8.0,,
243,49.0,-35.0,,
244,76.0,-19.0,,
245,33.0,22.0,,
246,66.0,0.0,,
247,33.0,4.0,,
248,37.0,34.0,,
249,72.0,14.0,,
250,34.0,-36.0,,
251,69.0,-13.0,,
252,66.0,24.0,,
253,34.0,28.0,,
254,78.0,-2.0,,
255,56.0,-0.0,,
256,84.0,-8.0,,
257,53.0,-38.0,,
258,32.0,-10.0,,
259,16.0,-16.0,,
260,66.0,-12.0,,
261,82.0,10.0,,
262,72.0,-9.0,,
263,79.0,-3.0,,
264,76.0,4.0,,
265,77.0,-8.0,,
266,55.0,1.0,,
267,56.0,24.0,,
268,72.0,-4.0,,
269,60.0,-21.0,,
270,76.0,-3.0,,
271,80.0,-1.0,,
272,82.0,5.0,,
273,51.0,28.0,,
274,84.0,-8.0,,
275,60.0,-23.0,,
276,71.0,18.0,,
277,48.0,35.0,,
278,51.0,-12.0,,
279,84.0,-7.0,,
280,74.0,0.0,,
281,34.0,12.0,,
282,40.0,-26.0,,
283,62.0,-37.0,,
284,74.0,-3.0,,
285,39.0,1.0,,
286,71.0,-1.0,,
287,72.0,-34.0,,
288,40.0,23.0,,
289,76.0,-15.0,,
290,20.0,33.0,,
291,72.0,-4.0,,
292,85.0,-8.0,,
293,71.0,-2.0,,
294,72.0,-4.0,,
295,61.0,-39.0,,
296,76.0,-2.0,,
297,74.0,37.0,,
298,30.0,-1.0,,
299,87.0,10.0,,
300,51.0,-10.0,,
301,71.0,7.0,,
302,37.0,-4.0,,
303,78.0,3.0,,
304,69.0,0.0,,
305,79.0,-4.0,,
306,71.0,-13.0,,
307,35.0,5.0,,
308,75.0,-26.0,,
309,42.0,-3.0,,
310,51.0,25.0,,
311,86.0,-33.0,,
312,53.0,4.0,,
313,66.0,-37.0,,
314,87.0,4.0,,
315,33.0,12.0,,
316,49.0,-38.0,,
317,80.0,3.0,,
318,86.0,2.0,,
319,58.0,3.0,,
320,33.0,29.0,,
321,80.0,0.0,,
322,85.0,0.0,,
323,74.0,-2.0,,
324,68.0,-22.0,,
325,47.0,28.0,,
326,82.0,0.0,,
327,81.0,-4.0,,
328,80.0,1.0,,
329,35.0,33.0,,
330,82.0,7.0,,
331,75.0,-15.0,,
332,73.0,7.0,,
333,75.0,-13.0,,
334,71.0,-9.0,,
335,38.0,21.0,,
336,79.0,15.0,,
337,82.0,-13.0,,
338,43.0,-37.0,,
339,73.0,-17.0,,
340,41.0,27.0,,
341,66.0,27.0,,
342,76.0,10.0,,
343,54.0,24.0,,
344,80.0,5.0,,
345,53.0,31.0,,
346,63.0,-32.0,,
347,57.0,-29.0,,
348,47.0,2.0,,
349,84.0,-35.0,,
350,79.0,-1.0,,
351,78.0,8.0,,
352,77.0,-3.0,,
353,59.0,-5.0,,
354,57.0,29.0,,
355,83.0,-28.0,,
356,42.0,-3.0,,
357,68.0,-15.0,,
358,80.0,-4.0,,
359,48.0,-33.0,,
360,57.0,2.0,,
361,66.0,-37.0,,
362,65.0,-36.0,,
363,85.0,-8.0,,
364,40.0,31.0,,
365,30.0,34.0,,
366,50.0,11.0,,
367,78.0,3.0,,
368,49.0,18.0,,
369,39.0,-32.0,,
370,80.0,-7.0,,
371,74.0,-8.0,,
372,38.0,29.0,,
373,77.0,-2.0,,
374,75.0,35.0,,
375,32.0,10.0,,
376,65.0,-19.0,,
377,73.0,-7.0,,
378,36.0,-19.0,,
379,85.0,20.0,,
380,81.0,6.0,,
381,77.0,1.0,,
382,86.0,5.0,,
383,12.0,-38.0,,
384,81.0,8.0,,
385,80.0,0.0,,
386,85.0,-15.0,,
387,70.0,12.0,,
388,36.0,-15.0,,
389,68.0,39.0,,
390,61.0,3.0,,
391,71.0,-0.0,,
392,78.0,-1.0,,
393,71.0,-0.0,,
394,73.0,-30.0,,
395,72.0,2.0,,
396,70.0,-31.0,,
397,69.0,20.0,,
398,68.0,-8.0,,
399,78.0,-14.0,,
400,50.0,-32.0,,
401,15.0,-16.0,,
402,82.0,8.0,,
403,61.0,26.0,,
404,50.0,-2.0,,
405,72.0,1.0,,
406,79.0,-6.0,,
407,76.0,1.0,,
408,59.0,5.0,,
409,64.0,26.0,,
410,78.0,-7.0,,
411,75.0,-33.0,,
412,48.0,-30.0,,
413,34.0,26.0,,
414,61.0,33.0,,
415,69.0,17.0,,
416,64.0,-0.0,,
417,67.0,3.0,,
418,38.0,-29.0,,
419,65.0,16.0,,
420,39.0,2.0,,
421,67.0,-39.0,,
422,77.0,-3.0,,
423,78.0,-1.0,,
424,61.0,-18.0,,
425,62.0,25.0,,
426,50.0,-17.0,,
427,72.0,-4.0,,
428,61.0,16.0,,
429,82.0,-23.0,,
430,44.0,-13.0,,
431,7.0,21.0,,
432,41.0,-10.0,,
433,41.0,11.0,,
434,41.0,35.0,,
435,59.0,11.0,,
436,77.0,-12.0,,
437,38.0,25.0,,
438,37.0,27.0,,
439,77.0,16.0,,
440,76.0,21.0,,
441,64.0,18.0,,
442,74.0,-4.0,,
443,83.0,-5.0,,
444,63.0,4.0,,
445,69.0,-13.0,,
446,69.0,-10.0,,
447,44.0,36.0,,
448,78.0,2.0,,
449,65.0,-21.0,,
450,80.0,-17.0,,
451,66.0,8.0,,
452,80.0,-3.0,,
453,59.0,-5.0,,
454,32.0,31.0,,
455,33.0,-11.0,,
456,72.0,2.0,,
457,34.0,-20.0,,
458,43.0,12.0,,
459,67.0,14.0,,
460,37.0,-33.0,,
461,68.0,-7.0,,
462,34.0,-39.0,,
463,79.0,15.0,,
464,84.0,-9.0,,
465,82.0,-11.0,,
466,74.0,-24.0,,
467,32.0,20.0,,
468,47.0,-32.0,,
469,88.0,7.0,,
470,80.0,-23.0,,
471,58.0,2.0,,
