,0
0,guest_Fenwick%_SVA_TeamMoingAverage_5
1,guest_SCF
2,home_SV%
3,guest_LDSF
4,guest_CA_SVA_TeamMoingAverage_5
5,home_SF
6,guest_FF_SVA_TeamMoingAverage_5
7,home_LDSV%
8,guest_HDSH%
9,guest_GSAx/60_GoalKeeper
10,home_SA_SVA_TeamMoingAverage_5
11,home_LDSF
12,home_team_label
13,home_CF%
14,guest_MDGF%
15,guest_HDSF
16,home_GA
17,guest_SA_SVA_TeamMoingAverage_5
18,home_xGA_pk
19,guest_FF
20,guest_SF_SVA_TeamMoingAverage_5
21,guest_HDCF%
22,guest_LDCA
23,guest_SF
24,guest_LDCF%
25,guest_LDSV%
26,guest_FA
27,guest_GF_Average_Average_pp_TeamMoingAverage_5
28,home_xGF%
29,home_GA_pk_TeamMoingAverage_5
30,guest_xGF_pp_TeamMoingAverage_5
31,guest_LDGF%
32,home_HDCF
33,home_HDSH%
34,home_xGF%_SVA_TeamMoingAverage_5
35,home_LDSF%
36,home_HDGA
37,home_GF_Average_Average_pp_TeamMoingAverage_5
38,home_xGF_pp
39,home_HDSF%
40,guest_GA
41,guest_LDGF
42,home_xGA_SVA_TeamMoingAverage_5
43,guest_xGA_SVA_TeamMoingAverage_5
44,guest_MDSF%
45,home_MDGF%
46,guest_CF
47,guest_FF%
48,home_HDSF
49,home_SH%
50,home_MDSH%
51,guest_CA
52,guest_MDCF%
53,home_SCF
54,guest_GA_pk_TeamMoingAverage_5
55,away_team_label
56,guest_MDGA
57,guest_HDGA
58,guest_FA_SVA_TeamMoingAverage_5
59,home_HDSV%
60,guest_HDGF%
61,home_SFGF%_SVA_TeamMoingAverage_5
62,home_LDGF
63,home_LDGF%
64,guest_GF%
65,home_xGF_pp_TeamMoingAverage_5
66,home_MDGA
67,guest_TOI_Average_pp_TeamMoingAverage_5
68,home_HDCSV%__GoalKeeper
69,home_GF%_SVA_TeamMoingAverage_5
70,home_FA_SVA_TeamMoingAverage_5
71,guest_HDCF
72,guest_HDCSV%__GoalKeeper
73,home_MDCF
74,home_MDCA
75,home_GSAx/60_GoalKeeper
76,home_HDCF%
77,home_fwkSV%_GoalKeeper
78,guest_MDSV%
79,home_SF%
80,home_MDSV%
81,guest_xGF%
82,home_LDCA
83,home_PDO
84,match_BacktoBack
85,guest_fwkSV%_GoalKeeper
86,home_MDSF
87,home_SCF%
88,guest_xGF%_SVA_TeamMoingAverage_5
89,home_FF_SVA_TeamMoingAverage_5
90,guest_MDSF
91,guest_GF%_SVA_TeamMoingAverage_5
92,guest_HDSV%
93,home_GF%
94,home_Fenwick%_SVA_TeamMoingAverage_5
95,home_CA_SVA_TeamMoingAverage_5
96,home_HDGF%
97,guest_SFGF%_SVA_TeamMoingAverage_5
98,guest_MDSH%
99,guest_HDSF%
