,fullName,id,position,position_code
145,Anton Blidh,8477320,Left Wing,L
146,Connor Clifton,8477365,Defenseman,D
147,Curtis Lazar,8477508,Center,C
148,Tomas Nosek,8477931,Left Wing,L
149,David Pastrnak,8477956,Right Wing,R
150,Brandon Carlo,8478443,Defenseman,D
151,Jake DeBrusk,8478498,Left Wing,L
152,Charlie McAvoy,8479325,Defenseman,D
153,Trent Frederic,8479365,Center,C
154,Jeremy Swayman,8480280,Goalie,G
155,Jack Ahcan,8482072,Defenseman,D
156,Jesper Froden,8482834,Right Wing,R
157,Colin Miller,8476525,Defenseman,D
158,Malcolm Subban,8476876,Goalie,G
159,Zemgus Girgensons,8476878,Left Wing,L
160,Vinnie Hinostroza,8476994,Center,C
161,Will Butcher,8477355,Defenseman,D
162,Drake Caggiula,8479465,Center,C
163,Craig Anderson,8467950,Goalie,G
164,Kyle Okposo,8473449,Right Wing,R
165,Dustin Tokarski,8474682,Goalie,G
166,Cody Eakin,8475236,Center,C
167,Jeff Skinner,8475784,Left Wing,L
168,Mark Pysyk,8475796,Defenseman,D
169,Mark Jankowski,8476873,Center,C
170,John Hayden,8477401,Center,C
171,Robert Hagg,8477462,Defenseman,D
172,Alex Tuch,8477949,Right Wing,R
173,Anders Bjork,8478075,Left Wing,L
174,Victor Olofsson,8478109,Left Wing,L
175,Rasmus Asplund,8479335,Center,C
176,Tage Thompson,8479420,Right Wing,R
177,Casey Fitzgerald,8479578,Defenseman,D
178,Casey Mittelstadt,8479999,Center,C
179,Henri Jokiharju,8480035,Defenseman,D
180,Jacob Bryson,8480196,Defenseman,D
181,Mattias Samuelsson,8480807,Defenseman,D
182,Rasmus Dahlin,8480839,Defenseman,D
183,Peyton Krebs,8481522,Center,C
184,Dylan Cozens,8481528,Center,C
185,Paul Byron,8474038,Left Wing,L
186,Jake Allen,8474596,Goalie,G
187,David Savard,8475233,Defenseman,D
188,Tyler Pitlick,8475752,Center,C
189,Joel Edmundson,8476441,Defenseman,D
190,Jonathan Drouin,8477494,Left Wing,L
191,Christian Dvorak,8477989,Left Wing,L
192,Shea Weber,8470642,Defenseman,D
193,Carey Price,8471679,Goalie,G
194,Jeff Petry,8473507,Defenseman,D
195,Mathieu Perreault,8473618,Center,C
196,Mike Hoffman,8474884,Center,C
197,Chris Wideman,8475227,Defenseman,D
198,Ben Chiarot,8475279,Defenseman,D
199,Brendan Gallagher,8475848,Right Wing,R
200,Joel Armia,8476469,Right Wing,R
201,Brett Kulak,8476967,Defenseman,D
202,Cedric Paquette,8476975,Center,C
203,Josh Anderson,8476981,Right Wing,R
204,Andrew Hammond,8477202,Goalie,G
205,Laurent Dauphin,8477460,Center,C
206,Artturi Lehkonen,8477476,Left Wing,L
207,Jake Evans,8478133,Center,C
208,Sam Montembeault,8478470,Goalie,G
209,Kale Clague,8479348,Defenseman,D
210,Rem Pitlick,8479514,Center,C
211,Michael Pezzetta,8479543,Left Wing,L
212,Nick Suzuki,8480018,Center,C
213,Ryan Poehling,8480068,Center,C
214,Alexander Romanov,8481014,Defenseman,D
215,Corey Schueneman,8481461,Defenseman,D
216,Cole Caufield,8481540,Right Wing,R
217,Chris Tierney,8476919,Center,C
218,Drake Batherson,8480208,Right Wing,R
219,Shane Pinto,8481596,Center,C
220,Nick Holden,8474207,Defenseman,D
221,Tyler Ennis,8474589,Right Wing,R
222,Austin Watson,8475766,Left Wing,L
223,Anton Forsberg,8476341,Goalie,G
224,Matt Murray,8476899,Goalie,G
225,Connor Brown,8477015,Right Wing,R
226,Josh Brown,8477384,Defenseman,D
227,Nick Paul,8477426,Left Wing,L
228,Dillon Heatherington,8477471,Defenseman,D
229,Zach Sanford,8477482,Left Wing,L
230,Colin White,8478400,Center,C
231,Thomas Chabot,8478469,Defenseman,D
232,Adam Gaudette,8478874,Center,C
233,Victor Mete,8479376,Defenseman,D
234,Nikita Zaitsev,8479458,Defenseman,D
235,Dylan Gambrell,8479580,Center,C
236,Alex Formenton,8480029,Left Wing,L
237,Josh Norris,8480064,Center,C
